AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
-0.067515,-0.667005,-0.73714,0.99646,1,2,3,4
-0.067495,-0.66468,-0.7388,0.99611,1,2,3,4
-0.06477,-0.657105,-0.74589,0.996345,1,2,3,4
-0.06448,-0.597155,-0.800155,1.000775,1,2,3,4
-0.0663,-0.59205,-0.80358,1.000435,1,2,3,4
-0.07111,-0.592525,-0.801375,0.999285,1,2,3,4
-0.05407,-0.59047,-0.806555,1.001205,1,2,3,4
-0.055555,-0.59222,-0.8037,1.000055,1,2,3,4
-0.055425,-0.5898,-0.804375,0.999175,1,2,3,4
-0.06229,-0.589105,-0.80415,0.999,1,2,3,4
-0.073085,-0.65287,-0.746725,0.995205,1,2,3,4
-0.071875,-0.6693,-0.73395,0.996045,1,2,3,4
-0.061565,-0.66862,-0.734975,0.995735,1,2,3,4
-0.070835,-0.6528,-0.750825,0.997855,1,2,3,4
-0.064025,-0.606415,-0.78694,0.99578,1,2,3,4
-0.073835,-0.664505,-0.736375,0.99489,1,2,3,4
-0.07152,-0.666845,-0.732725,0.99347,1,2,3,4
-0.05499,-0.6667,-0.73535,0.99435,1,2,3,4
-0.06021,-0.666135,-0.73621,0.994865,1,2,3,4
-0.059805,-0.662055,-0.740445,0.99526,1,2,3,4
-0.05356,-0.65885,-0.74438,0.995885,1,2,3,4
-0.072215,-0.65635,-0.74511,0.995905,1,2,3,4
-0.079045,-0.65466,-0.744465,0.994655,1,2,3,4
-0.075495,-0.653265,-0.74204,0.99186,1,2,3,4
-0.078225,-0.65519,-0.74496,0.99554,1,2,3,4
-0.07168,-0.655765,-0.741,0.99251,1,2,3,4
-0.076935,-0.65803,-0.740115,0.99352,1,2,3,4
-0.077645,-0.659195,-0.74264,0.996245,1,2,3,4
-0.08677,-0.6746,-0.723085,0.993405,1,2,3,4
-0.079685,-0.674265,-0.72687,0.995515,1,2,3,4
-0.08381,-0.656705,-0.743315,0.995775,1,2,3,4
-0.06978,-0.65756,-0.74103,0.99361,1,2,3,4
-0.082075,-0.65522,-0.743955,0.9949,1,2,3,4
-0.07859,-0.65406,-0.74374,0.99371,1,2,3,4
-0.08634,-0.651195,-0.745685,0.99389,1,2,3,4
-0.084625,-0.642975,-0.753775,0.994685,1,2,3,4
-0.08086,-0.643775,-0.750195,0.991905,1,2,3,4
-0.079855,-0.64771,-0.74914,0.993775,1,2,3,4
-0.07341,-0.65113,-0.747615,0.994385,1,2,3,4
-0.092675,-0.6576,-0.7406,0.99512,1,2,3,4
-0.08819,-0.71272,-0.693225,0.998835,1,2,3,4
-0.07954,-0.71205,-0.693905,0.997585,1,2,3,4
-0.08485,-0.71399,-0.690305,0.99691,1,2,3,4
-0.077475,-0.72054,-0.68489,0.99729,1,2,3,4
-0.079715,-0.722285,-0.684155,0.99827,1,2,3,4
-0.08003,-0.707125,-0.69952,0.99815,1,2,3,4
-0.081705,-0.726065,-0.68293,1.00023,1,2,3,4
-0.073745,-0.71415,-0.694325,0.998965,1,2,3,4
-0.07166,-0.70322,-0.70401,0.997715,1,2,3,4
-0.06646,-0.67437,-0.73044,0.9965,1,2,3,4
-0.064595,-0.679445,-0.725635,0.997155,1,2,3,4
-0.056615,-0.65895,-0.743805,0.99542,1,2,3,4
-0.055275,-0.6623,-0.74131,0.99568,1,2,3,4
-0.05497,-0.665375,-0.738765,0.99584,1,2,3,4
-0.04918,-0.6678,-0.73584,0.995035,1,2,3,4
-0.05451,-0.668195,-0.736505,0.996065,1,2,3,4
-0.058525,-0.66835,-0.73685,0.99661,1,2,3,4
-0.0579,-0.66782,-0.73697,0.9963,1,2,3,4
-0.057805,-0.6694,-0.73539,0.996185,1,2,3,4
-0.05983,-0.667805,-0.736855,0.99634,1,2,3,4
-0.06285,-0.66547,-0.738215,0.99592,1,2,3,4
-0.06088,-0.668805,-0.73501,0.99569,1,2,3,4
-0.062195,-0.66873,-0.735465,0.996055,1,2,3,4
-0.060105,-0.668365,-0.735715,0.995835,1,2,3,4
-0.05507,-0.669725,-0.735755,0.996495,1,2,3,4
-0.05472,-0.66462,-0.739645,0.995925,1,2,3,4
-0.04984,-0.66232,-0.742345,0.996135,1,2,3,4
-0.052585,-0.660305,-0.7439,0.996115,1,2,3,4
-0.049165,-0.662065,-0.741715,0.99546,1,2,3,4
-0.04981,-0.66108,-0.743385,0.99613,1,2,3,4
-0.052735,-0.657655,-0.74557,0.9957,1,2,3,4
-0.04399,-0.600225,-0.796545,0.998775,1,2,3,4
-0.042025,-0.59286,-0.804785,1.000515,1,2,3,4
-0.04571,-0.595235,-0.80176,0.999685,1,2,3,4
-0.04399,-0.598395,-0.79963,0.99985,1,2,3,4
-0.046505,-0.601815,-0.797705,1.00049,1,2,3,4
-0.05023,-0.60241,-0.79085,0.995635,1,2,3,4
-0.04951,-0.60609,-0.789605,0.99688,1,2,3,4
-0.04615,-0.61395,-0.78625,0.999265,1,2,3,4
-0.04106,-0.63567,-0.764735,0.99637,1,2,3,4
-0.068605,-0.662135,-0.748125,1.001755,1,2,3,4
