AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
0.90957,0.31779325,-0.0029645,1.2403175,3,6,9,0
0.91454325,0.30230125,-0.015518,1.238745,3,6,9,0
0.91515375,0.34376475,-0.06685975,1.2341825,3,6,9,0
0.910533,0.32036275,-0.020476,1.2136725,3,6,9,0
0.91294275,0.30982725,-0.0042015,1.1846125,3,6,9,0
0.92726025,0.2602395,-0.03650725,1.2239875,3,6,9,0
0.9274135,0.274196,-0.00626225,1.2479875,3,6,9,0
0.9174385,0.263366,0.069925,1.25001,3,6,9,0
0.9094235,0.27851975,0.07537375,1.214605,3,6,9,0
0.878474,0.3698215,0.03691825,1.251175,3,6,9,0
0.8907655,0.368536,0.00492025,1.23499,3,6,9,0
0.9089365,0.32396675,0.02513375,1.2197375,3,6,9,0
0.90014675,0.31013425,0.0145605,1.2389325,3,6,9,0
0.92386975,0.26766025,0.02282225,1.2504675,3,6,9,0
0.92302075,0.3052235,-0.014295,1.241385,3,6,9,0
0.897188,0.32738175,0.0539325,1.2163675,3,6,9,0
0.8886965,0.345403,0.064658,1.18656,3,6,9,0
0.88321225,0.3605445,0.06853725,1.1585725,3,6,9,0
0.88528575,0.34900575,0.081718,1.157125,3,6,9,0
0.907428,0.32077625,0.0211885,1.196965,3,6,9,0
0.90577275,0.31716825,0.0779705,1.1640425,3,6,9,0
0.89997125,0.34524325,0.01872525,1.1823725,3,6,9,0
0.9080645,0.32889425,-0.004628,1.1946075,3,6,9,0
0.9201975,0.3330905,-0.02919675,1.2351475,3,6,9,0
0.917454,0.28677725,-0.007838,1.202415,3,6,9,0
0.92278925,0.27696875,-0.0129305,1.2138675,3,6,9,0
0.90675225,0.29325675,0.0104295,1.2110475,3,6,9,0
0.91205575,0.28244525,0.0026035,1.1945425,3,6,9,0
0.92041725,0.28470375,-0.01089975,1.19758,3,6,9,0
0.9168895,0.286346,0.03896975,1.2164425,3,6,9,0
0.91960075,0.27436425,0.0226205,1.196965,3,6,9,0
0.9186955,0.2752135,0.02879,1.17754,3,6,9,0
0.92413675,0.25233175,0.05111175,1.195455,3,6,9,0
0.9231295,0.28123,-0.02168025,1.17205,3,6,9,0
0.920092,0.28209425,-0.03245975,1.15563,3,6,9,0
0.933621,0.2605445,-0.01706925,1.1601025,3,6,9,0
0.9301625,0.28700675,-0.03936275,1.260285,3,6,9,0
0.9108045,0.26420975,0.0495885,1.186065,3,6,9,0
0.907007,0.3315545,0.023441,1.2341575,3,6,9,0
0.91379975,0.3175335,-0.02502075,1.2597275,3,6,9,0
0.91203025,0.31182725,0.027908,1.23573,3,6,9,0
0.911987,0.2786025,0.04832,1.23249,3,6,9,0
0.915792,0.2994295,0.04328275,1.252035,3,6,9,0
0.90880825,0.28401625,0.073737,1.304,3,6,9,0
0.897999,0.2893585,0.04688825,1.2824075,3,6,9,0
0.89890825,0.30816475,0.0395175,1.266565,3,6,9,0
0.90638775,0.2975965,0.035991,1.266295,3,6,9,0
0.91843625,0.2920345,-0.0337195,1.25899,3,6,9,0
0.922018,0.2859585,-0.0420335,1.254105,3,6,9,0
0.93017625,0.27043225,0.01432275,1.2507475,3,6,9,0
0.91785025,0.3069685,-0.0208245,1.2238125,3,6,9,0
0.92348925,0.322339,-0.049801,1.277755,3,6,9,0
0.89825675,0.320761,0.02939225,1.182995,3,6,9,0
0.91115625,0.32514575,-0.040309,1.26924,3,6,9,0
0.91352025,0.33102425,-0.03339275,1.233445,3,6,9,0
0.905904,0.30346675,0.0419985,1.22683,3,6,9,0
0.91060675,0.296458,0.015114,1.224005,3,6,9,0
0.91367175,0.2907655,-0.01167475,1.236735,3,6,9,0
0.90760925,0.32706575,-0.03230875,1.2228925,3,6,9,0
0.9187915,0.32372925,-0.0289545,1.2300275,3,6,9,0
0.90686025,0.31075375,0.01166425,1.2179675,3,6,9,0
0.90911075,0.30111025,0.019952,1.246325,3,6,9,0
0.91745025,0.30524475,-0.03896825,1.2167475,3,6,9,0
0.92661725,0.27791475,-0.00611775,1.2241225,3,6,9,0
0.921076,0.275156,-0.01457375,1.21671,3,6,9,0
0.9167975,0.30686525,-0.01830225,1.2216725,3,6,9,0
0.922928,0.27642075,-0.01786975,1.2176175,3,6,9,0
0.920589,0.27874475,-0.02883875,1.23159,3,6,9,0
0.92961975,0.25909075,0.03060225,1.235965,3,6,9,0
0.92669275,0.255321,0.06396675,1.27347,3,6,9,0
0.925048,0.24953225,0.0557105,1.255875,3,6,9,0
0.92270825,0.27523725,-0.01982425,1.23267,3,6,9,0
0.91452225,0.295497,0.0009295,1.2090475,3,6,9,0
0.91638175,0.2927985,-0.00666725,1.170935,3,6,9,0
0.9264785,0.27079375,0.0089415,1.1862925,3,6,9,0
0.92565875,0.2711665,-0.01884125,1.1933175,3,6,9,0
0.927194,0.27209275,0.00967125,1.1829875,3,6,9,0
0.92494275,0.280744,-0.0059355,1.195325,3,6,9,0
0.93364025,0.273367,-0.011806,1.20787,3,6,9,0
0.92403675,0.2718085,0.02842325,1.164235,3,6,9,0
0.9212885,0.3258205,-0.0692615,1.17743,3,6,9,0
